ID, Status, Price
42615, Late, 39032.548813795736
2415, Landed, 80560.86481466569
45868, Late, 1382.7839850811065
56179, Landed, 89602.92615293719
5994, Landed, 73067.3489951901
84140, On Time, 31624.512551870437
32756, Landed, 55856.77692243505
84688, On Time, 66682.50484524982
92884, Late, 65466.69245271339
38322, Landed, 49790.20701342629
94456, Arrived, 63724.94025899313
49134, On Time, 49549.77136992089
97841, On Time, 9706.85484793102
5699, On Time, 11422.035320294359
38710, Arrived, 85177.06480420646
30086, Late, 35119.84266264953
3947, Arrived, 95003.54762559607
22334, Late, 82974.90627742495
54182, On Time, 27959.112430759265
54548, Landed, 14860.296952157138
45270, Late, 74992.54307712406
11996, Late, 93773.64146447202
4140, Late, 84598.6890400291
18168, Landed, 3650.7064249361165
74175, On Time, 22247.590543965158
75332, Landed, 97357.4615408048
59671, Arrived, 19447.82698600021
34787, Late, 74732.21430645343
58527, Landed, 96195.17310584719
13391, Arrived, 42523.8061925736
34086, Landed, 63427.89516933954
26582, Arrived, 5000.28795339817
3215, Late, 97132.56276926449
57988, Arrived, 88378.78756599329
18644, Arrived, 40403.28681547452
61020, Arrived, 5922.58461202419
68654, Landed, 6801.980670766761
38031, Late, 26505.971952846103
70338, Late, 66430.65992080542
2420, On Time, 74966.28859826906
55173, Late, 27184.031996706333
41526, Late, 16167.675133786217
15001, Late, 38020.57172218385
52481, Arrived, 34895.81417716986
95647, Arrived, 76638.05950392933
56531, Late, 39574.69332427882
5500, On Time, 85487.96923759446
50752, Late, 72161.84702922152
49755, On Time, 79552.17358151678
56657, Landed, 37636.00433784807
